HR,Irradiance,Temperature,Humidity,POWER
22,0,26.3,73.44,0
23,0,25.6,75.48,0
0,0,25.28,75.92,0
1,0,24.9,76.98,0
2,0,24.33,80.33,0
3,0,23.72,84.8,0
4,0,23.26,88.79,0
5,0,22.94,91.89,0
6,10.27,23.15,92.05,0.205500225
7,124.03,25.15,83.33,1.938822025
8,304.12,28.74,64.69,5.15363396
9,441.58,32.03,48.96,8.11063833
10,533,34.42,39.69,10.354387
11,735,36.12,33.81,14.81294
12,783.17,37.3,30.04,16.20239595
13,688.47,37.84,28.17,14.43502966
14,663.7,37.26,28.7,13.7571329
15,477.95,36.25,30.56,9.738871875
16,265.02,34.75,34.83,5.29807525
17,84.8,32.29,47.53,1.7201864
18,0,30.67,54.08,0
19,0,29.88,56.45,0
20,0,29.17,58.72,0
21,0,28.38,62.73,0
22,0,27.48,68.64,0
23,0,26.63,74.92,0
0,0,25.9,80.49,0
1,0,25.29,85.1,0
2,0,24.79,88.78,0
3,0,24.37,91.59,0
4,0,24.1,93.16,0
5,0,23.89,94.23,0
6,11.32,24.09,93.18,0.22516446
7,121.32,26.04,83.16,1.94657776
8,277.38,28.9,67.44,4.7275019
9,437.27,31.11,56.81,7.851323865
10,681.17,32.77,50.01,12.69926091
11,789.78,34.1,44.76,15.1908491
12,724.03,35.26,40.17,14.32329651
13,684.75,35.94,37.13,13.77227425
14,583.88,35.63,36.57,11.69118998
15,416.62,34.49,38.77,8.17847571
16,248.95,33.27,42.33,4.820717425
17,64.93,31.38,50.43,1.33036403
18,0,29.45,59.23,0
19,0,28.39,64.79,0
20,0,27.47,70.31,0
21,0,26.74,75.1,0
22,0,26.18,78.67,0
23,0,25.72,81.47,0
0,0,25.28,84.16,0
1,0,24.86,86.73,0
2,0,24.5,88.83,0
